E(eV),Wavelength(nm),eps1x,eps2x,EELSx,nx,kappax,Rx
3.68714,336.2606247660788,-0.626809,4.5517,0.21560938208327193,1.408518167000565,1.6157761066344036,0.3302093630641586
3.71436,333.796400995057,-0.605192,4.66057,0.2110080188067163,1.4308226541444538,1.6286330058097738,0.3314962634619964
3.74157,331.3689173261492,-0.600561,4.77183,0.20629556727034784,1.450674407046335,1.6446936600045723,0.3338519098895406
3.76878,328.9764857593173,-0.612803,4.88046,0.20171843503209233,1.4673069034938975,1.6630672112217382,0.33706481931810556
3.79599,326.6183525246378,-0.639768,4.98238,0.19745168399446128,1.4804592407079236,1.6827143439685424,0.3408613714918065
3.8232,324.29378531073445,-0.678057,5.07545,0.19357204060829897,1.490383399308264,1.7027330022448195,0.34498065087635305
3.85041,322.0020725065642,-0.724746,5.15981,0.19005597869920476,1.4976171487473169,1.7226732494068753,0.34926489629920593
3.87762,319.74252247512646,-0.778833,5.23637,0.1868387094748138,1.502521237971284,1.7425277818602376,0.35368589543347667
3.90484,317.51364972700543,-0.840379,5.30491,0.1838898208202146,1.5051051452704423,1.7623054497786586,0.35825116287169423
3.93205,315.31643799036124,-0.908651,5.36425,0.18121961310027332,1.5053260435226463,1.7817568569553883,0.3629136807968463
3.95926,313.14942691311,-0.982128,5.41385,0.1788263165085564,1.5033437629888287,1.8006028073168752,0.3676056370735747
3.98647,311.0119980835175,-1.05964,5.45424,0.1766751687627253,1.499429744902575,1.8187714424574082,0.37230040435429723
4.01368,308.90354985948056,-1.14155,5.48602,0.1747165063835294,1.4936499425524796,1.836447698925027,0.37705082315151117
4.04089,306.8234968039219,-1.22936,5.50772,0.17294690529555254,1.4855795342357874,1.8537277449885188,0.38193640654499
4.0681,304.77126914284304,-1.32262,5.5148,0.1714676088954659,1.4745448958537013,1.8700007085261232,0.3869011512325596
4.09531,302.7463122449827,-1.41569,5.50301,0.17043885586775326,1.4605651706527543,1.8838632162988662,0.391641669403915
4.12253,300.74735659898164,-1.5002,5.47368,0.1699279340189166,1.444877439264337,1.8941675782504217,0.39578352301840725
4.14974,298.77534496137105,-1.57093,5.43354,0.16984494914799503,1.4291858580027226,1.9009214125562839,0.39915121256426167
4.17695,296.829025963921,-1.62807,5.39004,0.17001595010605042,1.4146526825395729,1.9050753822923674,0.4018293234713768
4.20416,294.9079007459278,-1.67533,5.34811,0.1702731094965253,1.4016141212676794,1.9078396538852442,0.40405045113710836
4.23137,293.01148327846533,-1.71738,5.30942,0.1705052479111916,1.3897631036953044,1.9101888609226068,0.40607076610968373
4.25858,291.1392999544449,-1.75821,5.2729,0.17067286265662593,1.3784224696554002,1.9126574457677707,0.40809447781406755
4.28579,289.29088919429086,-1.79983,5.23561,0.17081367598929298,1.3668402497341192,1.9152238167622158,0.41021012612473856
4.31301,287.46513455800005,-1.8414,5.19441,0.17102261855428522,1.3545734843417634,1.917359988234287,0.4123507489836594
4.34022,285.66293874504055,-1.88008,5.14843,0.1713799297409165,1.3418066201758927,1.9184694435793999,0.4143512767602028
4.36743,283.88319904383127,-1.91377,5.09924,0.17189551776828238,1.3290535916295525,1.918372604428924,0.41609860653788966
4.39464,282.12549833433457,-1.94237,5.04911,0.17252292758733545,1.3167127327542485,1.9173164633406663,0.41759379334539
4.42185,280.3894297635605,-1.96712,4.99937,0.17320876926909026,1.304862819288116,1.9156688067514516,0.4189103854837446
4.44906,278.6745964316057,-1.98929,4.95002,0.17392919000295873,1.2933481567399678,1.9136455927215656,0.42011980091894213
4.47627,276.9806110891434,-2.00931,4.9005,0.17469201332606282,1.2820150747325545,1.911248976936683,0.4212425604449248
4.50349,275.306484526445,-2.02698,4.8506,0.17551129164337542,1.2708476370534394,1.908411306978742,0.4222620654119216
4.5307,273.65307789083363,-2.04216,4.80066,0.17638620745982264,1.2599221967759442,1.9051414493230472,0.42316618154485935
4.55791,272.01941240612473,-2.0551,4.75096,0.17730732993506307,1.2492586204865586,1.9015117935106212,0.4239670900438687
4.58512,270.40513661583554,-2.06603,4.70155,0.17827098415520223,1.2388381701437645,1.8975642312725942,0.42467566772747367
4.61233,268.8099073570191,-2.07506,4.65245,0.17927711526270246,1.228651414711811,1.893315689174242,0.42529525843378785
4.63954,267.23338951706415,-2.08221,4.60378,0.1803254952763959,1.2187186939789103,1.888778773454864,0.4258231864033945
4.66675,265.67525579900354,-2.08761,4.55575,0.18141021757008574,1.2090646432651875,1.8839976941583487,0.4262639579858576
4.69397,264.1346237832794,-2.09147,4.50847,0.18252509654477733,1.1996863418998829,1.8790203082833148,0.4266277982167515
4.72118,262.612313023439,-2.094,4.4621,0.18366200184541107,1.1905908890698127,1.8739014555563074,0.4269251811598616
4.74839,261.10744905115206,-2.09547,4.41667,0.1848136178048016,1.1817539588636032,1.868692703279434,0.42717160847550556
4.7756,259.619733646034,-2.09615,4.37217,0.18597290262211089,1.1731436002877653,1.8634419515767429,0.42738350896460797
4.80281,258.1488753458912,-2.09628,4.32848,0.187136008172776,1.1647101073988992,1.8581791179208627,0.4275764577902133
4.83002,256.69458925635917,-2.09602,4.28551,0.18830043590716952,1.1564187064422737,1.8529231566931268,0.42776094998374575
4.85723,255.25659686693854,-2.09559,4.24307,0.1894638707497961,1.1482073892361588,1.8476932128187613,0.4279531852158475
4.88445,253.8341061941467,-2.09512,4.20088,0.19062917539100482,1.1400065477764265,1.8424806454812832,0.4281642034985638
4.91166,252.42789606772453,-2.09458,4.15862,0.19180600636991,1.1317569280920365,1.8372407964892146,0.4283941413337122
4.93887,251.03718056964448,-2.09372,4.11601,0.1930115384891682,1.1234326416882392,1.831889980432945,0.4286265453031823
4.96608,249.66170500676589,-2.09225,4.07298,0.1942596896255892,1.1150534338082785,1.826360906351106,0.42884006587346113
4.99329,248.3012202375588,-2.08991,4.02958,0.19556094652158043,1.1066592455548427,1.820605582154469,0.4290139072191883
5.0205,246.95548252166117,-2.08645,3.98595,0.19692386825852154,1.0983072839728207,1.8145878016860342,0.42912620484393005
5.04771,245.62425337430238,-2.08171,3.94235,0.19835084509262849,1.0900688988582226,1.8083031284212219,0.4291598814681968
5.07493,244.30681802507618,-2.07563,3.8991,0.19983885470687707,1.0820168079383394,1.8017742291033785,0.4291040785256733
5.10214,243.00391600387286,-2.06841,3.85657,0.20137219785071048,1.0742037067339973,1.7950831745523825,0.4289677395290709
5.12935,241.71483716260346,-2.06033,3.8149,0.202937249575824,1.0666266151328598,1.7883015227052126,0.4287689388634583
5.15656,240.43936267589245,-2.05169,3.77407,0.2045229822778442,1.0592473119858934,1.7814867015920552,0.42853005434057745
5.18377,239.1772783128881,-2.0427,3.73394,0.2061249891579329,1.0520132860890925,1.7746638989138115,0.4282684455564476
5.21098,237.9283743173069,-2.03342,3.69434,0.20774624305067269,1.0448834667449018,1.767823933279795,0.4279900158290607
5.23819,236.69244529121698,-2.02382,3.65513,0.20939316701771057,1.037833464466029,1.760942446522759,0.4276930002052727
5.2654,235.4692900824249,-2.01379,3.61626,0.21107372676710615,1.030867343129442,1.7539890191021021,0.4273674712776244
